id_sample;APOC1;MERTK;CMTM3;XPR1;H2BC5;MSMO1;TMEM97;IFFO2;FAM89A;CTSH;DOK4;ARFGEF3;FOXA1;NCF2;SNORD62B;PYGB;H3P6;DGUOK-AS1;APOE;IGLV7-46;NES;STOM;ELN;ERRFI1;IL1RN;FZD5;LIMK2;IER5;RNU6-850P;CTSW;CHCHD2P9;LGALS2;RPS2P46;KDM7A-DT;FLVCR2;PRC1;FOXM1;MICAL1;MHENCR;CELSR2;SEZ6L2;SORD;SNAI1;MELK;MMP12;SOX9;APBA2;NFIB;GRK5;TMEM150B;tissue_status;source;class
TCGA-92-7340-11A;7.140261;2.59891;3.833186;2.77414;1.630976;5.945282;3.972232;2.322381;3.659;6.961506;3.50412;3.412788;3.312787;5.615006;1.449275;4.96814;1.912825;0.95499;6.623711;4.760915;4.353978;7.712925;4.481621;5.60923;6.155369;4.420311;4.66212;3.929654;0.728438;3.733685;0.984929;6.935667;1.441629;1.454017;3.139254;0.822935;0.284748;3.024929;1.793406;0.944696;2.797494;1.333588;2.200198;0.233064;1.276446;2.150113;0.713876;4.096771;4.628837;2.376949;normal;TCGA-LUSC;NTL
TCGA-49-6761-11A;8.223744;1.785729;4.354128;2.451554;2.569789;6.275168;4.06204;2.213913;3.786036;7.77578;4.41404;2.862063;3.102323;5.460416;1.4618;5.281981;2.927566;0.607212;7.862035;0.371769;5.390693;7.564921;3.931108;5.015739;2.340985;3.960731;3.943524;3.29808;0.450205;3.883526;2.615625;7.250154;2.87236;1.370144;2.704982;0.836059;0.766126;2.921382;1.725783;1.243969;3.343493;0.944733;0.939094;0.257632;2.482709;1.179761;1.003582;3.931486;3.950315;2.31783;normal;TCGA-LUAD;NTL
TCGA-44-2662-11A;6.69002;2.356115;4.126315;2.069776;1.555045;5.756966;3.373187;2.440438;3.63074;7.888819;3.955383;2.494494;2.401679;5.246346;0.6902;5.327562;2.760609;0.384028;6.239915;1.326236;4.881758;7.674025;5.880305;6.915269;3.284661;3.58605;3.693821;5.188907;0.423846;4.02277;2.778714;7.050853;2.789837;2.286743;2.472445;0.716339;0.661361;3.006546;1.705547;1.222207;3.48451;1.099101;3.17673;0.269151;0.190011;1.385964;0.855255;3.255661;4.547419;2.607007;normal;TCGA-LUAD;NTL
TCGA-91-6847-11A;6.592588;2.170058;2.990182;2.513471;3.078599;5.670036;3.666042;2.543751;2.950932;7.417455;4.365818;3.242917;3.849923;4.775712;0.0;5.497108;2.364392;1.110852;4.553413;2.393928;4.108037;7.035976;4.245782;4.972848;1.895898;4.085062;3.850434;3.155847;0.721854;2.617175;2.199506;7.515448;2.389954;1.674368;3.300839;0.587212;0.430937;3.172891;1.843293;1.295195;3.312276;1.282932;0.993975;0.295695;0.075233;2.071653;0.459267;3.539651;4.618246;2.973016;normal;TCGA-LUAD;NTL
TCGA-22-4609-11A;6.02084;2.853868;3.59295;2.694476;1.789389;6.892468;4.878712;2.517089;3.193621;7.700957;3.97849;3.403285;3.222024;4.66151;1.138261;5.109567;2.493589;0.876525;7.098591;4.916833;4.869461;7.548956;4.352843;6.393596;2.999606;3.880439;3.725108;5.245186;0.51583;4.311831;2.00348;6.980107;1.52195;1.982367;2.114725;0.790081;0.254333;3.165844;1.206676;1.124764;2.887896;1.20078;3.880978;0.175135;1.005725;2.796561;0.991494;3.372806;4.326082;1.684364;normal;TCGA-LUSC;NTL
TCGA-55-6984-11A;7.777628;2.31679;3.21946;2.514966;2.324269;5.868964;3.768905;2.262304;3.074882;8.130772;4.032375;3.216752;3.48194;5.38456;1.051696;5.252257;2.850307;1.30783;7.144129;1.05557;3.241238;6.998328;2.865619;5.426163;2.662808;3.505085;3.79795;3.625241;1.032232;3.103606;1.805599;7.815809;1.05648;1.638315;3.369842;0.577915;0.541208;3.343395;1.477986;1.123088;2.675437;1.167368;1.243824;0.175722;0.308001;2.053143;0.439345;3.334562;4.517272;3.417808;normal;TCGA-LUAD;NTL
TCGA-77-7337-11A;7.051038;2.380245;3.929497;2.865449;1.969179;5.393736;3.623745;2.007743;3.275331;7.650838;3.787758;3.222219;2.958637;5.369381;1.065992;4.90756;2.502888;0.76202;5.656059;2.988728;4.027146;7.601095;3.917884;4.614524;2.400754;3.63701;3.587828;3.019687;0.241989;4.059146;1.188245;7.436442;1.389008;1.112232;2.994237;0.906864;0.55804;2.866713;1.850655;1.061824;2.111917;1.020928;1.86998;0.506337;0.176943;1.726323;0.647866;4.015349;4.233668;3.118782;normal;TCGA-LUSC;NTL
TCGA-51-4079-11A;6.159139;2.611826;3.949728;2.638505;2.803898;5.037455;3.680169;2.568518;3.493999;7.141202;3.947447;3.074847;2.592962;4.304042;2.144935;5.300296;2.427211;0.735626;6.53551;3.859845;5.508254;7.926305;5.259907;6.431927;2.968557;3.757669;3.818511;4.740429;0.72203;1.025169;2.564307;6.805426;2.184505;1.754967;3.046213;0.995735;0.61852;3.321851;1.64604;1.260983;3.498474;0.855364;3.995218;0.241276;0.354392;2.585366;1.101856;3.59708;4.407654;2.110881;normal;TCGA-LUSC;NTL
TCGA-34-8454-11A;6.729096;2.418999;4.239587;2.659893;2.306596;4.843542;2.943602;2.293636;2.815299;6.957461;3.813367;2.226145;2.091006;4.845843;1.31603;5.263041;2.594478;0.819898;7.876787;3.982674;5.328429;7.483184;5.249364;4.369494;1.975101;2.618493;3.479081;3.988523;1.026157;4.266655;1.740464;7.260388;1.656409;1.32615;2.285987;1.017359;0.718179;3.779129;2.329267;1.298329;2.748531;1.023747;2.176633;0.507878;1.150066;1.767231;1.139519;3.632733;4.478506;2.526547;normal;TCGA-LUSC;NTL
TCGA-77-7338-11A;6.643102;2.107301;4.019943;2.569228;1.785077;6.179388;4.289732;2.11534;3.897443;7.504184;4.087832;2.672732;2.621847;4.208454;0.798755;4.873099;2.44607;0.650651;5.649385;2.544083;4.815691;7.755399;4.39128;4.71529;3.590014;3.400252;3.627948;3.819104;0.0;4.507058;1.922091;7.482372;2.560294;1.473639;2.380612;0.63735;0.302993;2.460137;1.157574;0.832141;2.610468;0.697967;4.215693;0.114257;0.139893;2.28071;0.686014;3.939852;4.097758;1.941305;normal;TCGA-LUSC;NTL
